Gen	theta_7OLMXRB	theta_8LMXRB	theta_9LM	theta_10XRB	theta_11RB	tau_7OLMXRB	tau_8LMXRB	tau_9LM	tau_10XRB	tau_11RB	lnL
473370	0.010417	0.00051655	0.0033536	0.00075511	0.0028295	0.001162	0.00078033	5.3921e-05	0.00050139	3.9684e-05	-15982530.062
473400	0.010462	0.00052653	0.0033431	0.00077535	0.0026201	0.0011632	0.0007761	5.3619e-05	0.00049505	3.8326e-05	-15981887.639
473430	0.010492	0.00052728	0.0034583	0.00079255	0.0028241	0.0011663	0.00078104	5.4766e-05	0.00048808	3.5187e-05	-15982413.437
473460	0.010435	0.00054049	0.0032825	0.00084019	0.0033844	0.0011818	0.00078434	5.4389e-05	0.00047393	2.9772e-05	-15982438.168
473490	0.010426	0.00053818	0.0033218	0.00084824	0.0031728	0.0011826	0.00078668	5.8579e-05	0.00046883	2.7824e-05	-15982214.811
473520	0.010368	0.00054528	0.0032852	0.00081115	0.0028582	0.0011811	0.00077581	5.7529e-05	0.00049115	2.7813e-05	-15982423.593
473550	0.010402	0.0005356	0.0033555	0.00080308	0.0028338	0.0011776	0.00078192	5.9103e-05	0.00049112	2.8788e-05	-15982262.603
473580	0.010425	0.00053056	0.0032742	0.0007941	0.0024565	0.0011717	0.00078272	5.7674e-05	0.00048404	3.109e-05	-15981967.243
473610	0.010341	0.00053567	0.0031759	0.00075539	0.0030062	0.0011722	0.00078133	5.79e-05	0.00050256	2.6397e-05	-15982513.086
473640	0.010401	0.00054825	0.0032701	0.0007637	0.0029358	0.0011756	0.00077366	5.6494e-05	0.00049186	2.7771e-05	-15982006.891
473670	0.010389	0.00055074	0.0033588	0.00080844	0.0024442	0.0011807	0.00077432	5.7661e-05	0.00047705	3.0176e-05	-15982193.936
473700	0.010389	0.00055348	0.0031948	0.00080048	0.002298	0.0011822	0.0007758	5.7859e-05	0.00048953	2.9312e-05	-15982092.835
473730	0.010337	0.00056815	0.003141	0.00081478	0.0022673	0.0011932	0.00076935	5.6524e-05	0.00048957	2.8929e-05	-15982603.209
473760	0.010363	0.00055928	0.0032853	0.00078838	0.0023685	0.0011863	0.00077553	5.2726e-05	0.00050208	2.8324e-05	-15981881.398
473790	0.010426	0.00056725	0.0033337	0.0007422	0.0028847	0.0011852	0.00076745	5.2823e-05	0.00050491	2.5112e-05	-15982550.686
473820	0.010451	0.00056757	0.0034099	0.00074863	0.0026503	0.00119	0.00077257	5.1233e-05	0.0005042	2.9604e-05	-15982188.549
473850	0.010412	0.00055814	0.0035635	0.00074543	0.0029826	0.0011827	0.00077373	5.0589e-05	0.00051005	2.5357e-05	-15982580.757
473880	0.010416	0.00055331	0.0034102	0.00075198	0.0028599	0.0011739	0.00076818	5.2313e-05	0.00049763	2.8424e-05	-15982190.424
473910	0.010322	0.00054666	0.0033644	0.00074115	0.0027009	0.0011634	0.0007622	5.1795e-05	0.00049496	3.2061e-05	-15981640.246
473940	0.010405	0.00054489	0.0032291	0.00074568	0.0025545	0.0011739	0.00077634	5.512e-05	0.00049945	3.5675e-05	-15982195.912
473970	0.010425	0.00054617	0.0033224	0.00073307	0.0025912	0.0011722	0.00076996	5.3925e-05	0.00049678	3.4682e-05	-15982297.665
474000	0.01033	0.00054233	0.0033143	0.00071956	0.0026468	0.0011671	0.00076697	5.3631e-05	0.0005006	3.4358e-05	-15982166.005
474030	0.010474	0.00055331	0.0033068	0.00072648	0.0029546	0.0011712	0.00076177	5.4232e-05	0.00050244	2.9722e-05	-15982342.346
474060	0.010423	0.00055658	0.0033564	0.00073811	0.0026956	0.0011841	0.00077389	5.4823e-05	0.00050537	3.3094e-05	-15982327.881
